Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,Twitter,Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
,,This list is maintained by @SalesEnablement author of https://salesenablement.wordpress.com/ Request an update by filling: https://app.questmate.com/p/b054707b-869d-4969-887f-3e81134c56b7,,https://app.questmate.com/p/b054707b-869d-4969-887f-3e81134c56b7,,,,,,,,,
,,"1sales.io 1sales.io @1sales_io CRM Software for sales orgs - ready in under 60 seconds. #rethink1ngsales Bielefeld, NRW, Germany. Company shut down as of April 2023. Was a SaaS-based sales management tool for SMEs, helping sales teams to increase revenue & minimize administrative expenses.",Out of Business,www.1sales.io,Germany,,CRM,https://twitter.com/1sales_io,https://www.crunchbase.com/organization/1sales,20/4/2023,B2B,,20 April 2023
,,"1up 1up.ai @1up__AI Answer your sales team’s questions 10x faster with 1up: A knowledge automation platform for sales teams. Employs an enterprise-level question-answering system for generating up-to-date data-driven responses for anything that may arise during the sales process using a variety of secure LLMs. Sales professionals can access the information they need without having to fumble around for the right case study or response to a customer objection. Allows organizations to free up time for sales reps, on-board & train new sales professionals more efficiently, & utilize the most effective techniques at the right time with confidence. Address complex sales questions, respond to objections as well as complete RFPs with automation: Businesses use 1up to answer complex sales questions, respond to customer objections, & quickly complete RFP questionnaires. 1up automates knowledge for Sales teams: An enterprise-grade question-answering system built with data privacy & accuracy in mind. It combines a company’s external & internal knowledge sources & leverages multiple Large Language Models (LLMs) to generate accurate, up-to-date answers in seconds. New York City, NY, USA",Active,https://1up.ai,USA,"SaaS,ML",knowledge management,https://twitter.com/1up__AI,https://www.crunchbase.com/organization/1up-b96e,,B2B,,10 November 2023
,2VizCon GmbH,"2VizCon (new name 2Viz) old website 2vizcon.com new website 2viz.io Transforming Business Productivity Through AI-driven Enterprise Applications. Software for the development of platform independent enterprise applications in marketing, sales, communication, learning. Sales Enablement: Transform your sales strategy with impactful sales enablement applications to sell more. Marketing Enablement: Stage your brands, marketing messaging & content on an engaging mobile platform. Combine fragmented technology stacks to create one integrated technology, one connected platform, one productive team. Frankfurt, Germany & Kingston, Greater London, UK; Jakarta, Indonesia","Rebranding,Active",https://2viz.io,"UK,Germany,Indonesia",,,,https://www.crunchbase.com/organization/2vizcon,,B2B,,16 January 2023
1,7taps Inc.,"7taps 7taps.co @7tapsHq corporate learning tool for generation Slack. The growing workforce of Generation Z is extremely digitally savvy; yet prone to distraction & has a shorter attention span. Other digital Learning Management Systems (LMS) with a mountain of features – that overwhelm you & your staff – don’t produce the desired results. Engage Gen Z in a format they are accustomed to. A simple & short approach that can be grasped quickly & effectively. 7taps Inc., New Castle County, Delaware, USA",Active,https://www.7taps.co,USA,,,https://twitter.com/7tapsHq,,,B2B,,12 January 2022
,20 Miles Inc.,"20 MILES Inc. 20miles.us @20MilesSoftware (Former fileboard.com). 20 Miles sales platform enables consistent outbound prospecting at scale, leading to more meetings & opportunities. Create workflows that automatically reach prospects across multiple channels. Get more meetings & opportunities while spending less time prospecting. San Francisco, California, USA, Website offline as of 4-Apr-2022","Pivoted,Rebranding,Zombie?,Out of Business",http://20miles.us,USA,SaaS,CRM,https://twitter.com/20MilesSoftware,,4/4/2022,B2B,,4 April 2022
,"60 Seconds Pty Ltd,60seconds ltd","60 Seconds 60seconds.com https://60seconds.com/about/ https://www.60secondsapp.com/ 60 seconds app London, UK 60seconds ltd @60Seconds_app Use gamification to drive immediate customer purchases. For Australia the focus seems: Mobile coaching app that helps improve the quality & cut-through of sales professionals’ conversations. Scripting, Rehearsing, Delivering, Sharing. For Sales Manager: Observing, Coaching, Measuring, Strategising. Sydney, NSW, Australia. 60 Seconds Pty Ltd. London, UK, 60seconds ltd",Active,https://60seconds.com/about/,"Australia,Serbia,UK",,mobile,https://twitter.com/60seconds_app,https://www.crunchbase.com/organization/60seconds-b4ec,,"B2B,B2C",,16 January 2023
,360insights (Canada) Ltd.,"360insights 360insights.com @360insights Channel Success Platform empowers brands to create, measure, & manage their channel incentives programs. 360insights (Canada) Ltd., Canada",Active,https://360insights.com,Canada,SaaS,Channel (Partner) Enablement,https://twitter.com/360insights,,,B2B,,10 January 2022
2,"""Accent Technologies, Inc.""","Accent Technologies accent-technologies.com @accent_tech Accent Accelerator for Sales & Marketing Teams: Designed to empower sales teams with information, insight & technology. Deliver the right information at the right time, have more meaningful conversations, build credibility with buying teams & win more deals through precise, efficient execution. Content, coaching & insight at their fingertips. Provides tools to deliver & track information in a unique personalized way. Now integrating with OpenAI’s ChatGPT AI Engine! AI AT YOUR FINGERTIPS: CHATGPT CUSTOMIZED For Your Team. Put the latest AI technology to work with your own ChatGPT knowledgebase that answers detailed questions about your products, services, accounts, opportunities, pipeline—even with detailed recommendations for next steps & improvement. Customized to know your business: All the knowledge & power of ChatGPT plus the knowledge of your business. It knows your company, products, services, competitors, industry… & anything else you need it to know. Ask a question about your business, you get the answer. It’s that simple. No implementation needed, minimal if any training for the team, no big rollout. Just an incredibly smart assistant that can help with about anything. Want to Know About Sales? Your Sales Assistant will tell you anything you want to know about your deals. Just ask & get the answer. The Sales Assistant is loaded with all the information from our Synthesis Analytics Engine—purpose-built Sales Engine! Helps You Write Emails and Create Personalized Content Your Chat Assistant is not as smarter as ChatGPT—it’s smarter! It knows you & your buyers; & can help you write on-target emails & create personalized content that directly fit your buyer’s needs. FL, USA. Accent Technologies, Inc.",Active,www.accent-technologies.com,USA,"ML,SaaS",Sales Enablement,https://twitter.com/accent_tech,https://www.crunchbase.com/organization/accent-technologies,,B2B,https://www.owler.com/company/accent-technologies,14 April 2023
,Tata Group,"AccessBell accessbell.com @access_bell Customized Video Conferencing for Enterprise Workflows. Customized, self-serve, fully-managed video conferencing for your workflows & apps. Founded March 2020. Expand your Zoom experience with features including real-time collaboration, personal notes, & agendas that sync with tools you already know & love. Take personal & collaborative notes & assign action items during the meeting. Organize your meetings with an agenda to indicate the progress of the meeting. Integrate seamlessly with Slack, Drive, Email, & other productivity tools. Track user engagement & better understand your meeting participation. Palo Alto, CA, USA. PALO ALTO, Calif., June 7, 2021 /PRNewswire/ -- AccessBell, a VC-backed silicon valley startup founded by Stanford MBAs, sold its video conferencing software solution to Tata Medical & Diagnostics for an undisclosed amount. What started as a trial converged into a solution which is being used to provide teleconferencing services to deliver healthcare services.",Acquired,https://www.tata.com,USA,,,https://twitter.com/access_bell,https://www.crunchbase.com/organization/accessbell,,B2B,https://www.prnewswire.com/news-releases/tata-group-buys-accessbells-video-business-301306537.html,11 August 2022
