Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,X.com (Twitter),Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
,,This list is maintained by @SalesEnablement author of https://salesenablement.wordpress.com/ Request an update by filling: https://app.questmate.com/p/b054707b-869d-4969-887f-3e81134c56b7,,https://app.questmate.com/p/b054707b-869d-4969-887f-3e81134c56b7,,,,,,,,,
,UP.Partners Early stage VC firm,"Stealth AI Sales Enablement SaaS Startup, New York, NY. UP.Labs up.partners/labs/ is building a stealth ML-based SaaS intelligent sales enablement startup. This Stealth AI Enablement business is trying to “ignite an evolution in human performance for a large and underserved market, has initial customers in place, and is ready to scale.” “a 0-to-1 or early stage environment to lead a SaaS intelligent sales enablement platform rapidly scaling”. “This Stealth AI Enablement business […] Machine Learning Sales predictions, LLM modeling and building multi platform products. […] a well funded startup, which is part of the UP.Partners ecosystem.” UP.Labs Summary: We build high-growth tech startups. Our unique approach includes meaningful equity rewards, technology-driven products, and unprecedented industry access. We collaborate with corporate investors to launch and scale ventures. UP.Labs, New York, NY, USA; Hangar 7, 3100 Donald Douglas Loop N, Santa Monica, CA 90405, US",Pre-Launch,http://www.up.partners/labs/,USA,"ML,SaaS",Sales Enablement,,,,B2B,,2 December 2025
,"""1mind AI, Inc.""","1mind www.1mind.com a platform that deploys multimodal AI-powered Superhumans for revenue teams. These Superhumans combine a face, a voice, and a GTM brain — equipped with deep technical and product knowledge and the ability to play multiple roles across GTM (SDR/AE, Solutions Engineers, Onboarding Specialist & CSM). Superhumans qualify leads, book meetings,deliver pitches, give interactive demos, handle objections, uncover pain points, build value models, provide support, and onboard customers. Superhumans live across your website, inside your product, in customer portals, deal rooms and can join live calls as active participants, providing a delightful buying & customer experience and helping you scale beyond human capacity limitations. 1mind Superhumans are autonomous employees that integrate seamlessly into existing workflows, scale instantly, and drive measurable impact. Founder & CEO Amanda Kahlow (Past Role: 6sense, Founder, CEO & Executive Chairman). San Francisco, California, United States. 1mind AI, Inc.",Active,https://www.1mind.com,USA,"ML,SaaS","Agentic AI,Sales Enablement,sales intelligence",https://x.com/AmandaKahlow,https://www.crunchbase.com/organization/1mind,,B2B,https://techcrunch.com/2025/11/10/6sense-founder-amanda-kahlow-raises-30-million-for-new-human-replacement-ai-sales-startup-1mind/,2 December 2025
,"""OAYAW, Inc.""","1Page https://www.get1page.com get1page.com @get1page Make Every Sales Call A Success With 1Page. Get a deeper understanding of your prospect & have personalized conversations; effortlessly every time. Helps salespeople prepare for meetings & calls in minutes, so they can spend more time selling, & less time searching. Don’t dread the next sales call. Rather make the most out of it with 1Page on Microsoft Teams. Preparing for your next sales call can be taxing. Searching for client details, diving into company research, & sifting through various tools, call records, CRM, & emails can leave you overwhelmed with little time to do what you want – prepare for the call. With 1Page on the Microsoft ecosystem, you can streamline your sales meeting research & workflow: Context of your sales call, access real-time insights, consolidate key data, & connect authentically with prospects without leaving Microsoft Teams. OAYAW, Inc. OAYAW stands for One App You Always Wanted! OAYAW, Inc. operates www.get1page.com & 1Page mobile, desktop, wearable & web applications. Berkeley, CA, USA & India",Active,https://get1page.com,"India,USA",,"Sales Enablement,searching finding discovery",https://x.com/get1page,,23/8/2025,B2B,,31 August 2025
,,"1sales.io 1sales.io @1sales_io CRM Software for sales orgs - ready in under 60 seconds. #rethink1ngsales Bielefeld, NRW, Germany. Company shut down as of April 2023. Was a SaaS-based sales management tool for SMEs, helping sales teams to increase revenue & minimize administrative expenses. Was in business for 5 years.",Out of Business,,Germany,,CRM,https://twitter.com/1sales_io,https://www.crunchbase.com/organization/1sales,8/1/2024,B2B,,31 August 2025
,,"1up 1up.ai @1up__AI Answer your sales team’s questions 10x faster with 1up: A knowledge automation platform for sales teams. Employs an enterprise-level question-answering system for generating up-to-date data-driven responses for anything that may arise during the sales process using a variety of secure LLMs. Sales professionals can access the information they need without having to fumble around for the right case study or response to a customer objection. Allows organizations to free up time for sales reps, on-board & train new sales professionals more efficiently, & utilize the most effective techniques at the right time with confidence. Address complex sales questions, respond to objections as well as complete RFPs with automation: Businesses use 1up to answer complex sales questions, respond to customer objections, & quickly complete RFP questionnaires. 1up automates knowledge for Sales teams: An enterprise-grade question-answering system built with data privacy & accuracy in mind. It combines a company’s external & internal knowledge sources & leverages multiple Large Language Models (LLMs) to generate accurate, up-to-date answers in seconds. New York City, NY, USA",Active,https://1up.ai,USA,"SaaS,ML",knowledge management,https://x.com/1up__AI,https://www.crunchbase.com/organization/1up-b96e,,B2B,,23 August 2025
,2VizCon GmbH,"2VizCon (new name 2Viz) old website 2vizcon.com new website 2viz.io Transforming Business Productivity Through AI-driven Enterprise Applications. Software for the development of platform independent enterprise applications in marketing, sales, communication, learning. Sales Enablement: Transform your sales strategy with impactful sales enablement applications to sell more. Marketing Enablement: Stage your brands, marketing messaging & content on an engaging mobile platform. Combine fragmented technology stacks to create one integrated technology, one connected platform, one productive team. Frankfurt, Germany & Kingston, Greater London, UK; Jakarta, Indonesia","Rebranding,Active,Pivoted",https://2viz.io,"UK,Germany,Indonesia",,,,https://www.crunchbase.com/organization/2vizcon,,B2B,,7 September 2024
1,7taps Inc.,"7taps 7taps.com former 7taps.co @7tapshq micro-learning. Stop building courses. Start driving performance. Platform for impactful, quick-to-launch microlearning. Corporate learning tool for generation Slack. The growing workforce of Generation Z is digitally savvy; yet prone to distraction / has a shorter attention span. Other digital learning management systems (LMS) with a mountain of features – that overwhelm you & your staff – don’t produce the desired results. Engage Gen Z in a format they are accustomed to. A simple & short approach that can be grasped quickly & effectively. New Castle County, Delaware, USA. 7taps OpCo LLC, 700 S. Rosemary Ave, Suite 204, West Palm Beach, FL 33401, USA","Active,Rebranding",https://www.7taps.com,USA,SaaS,"learning management system,training / onboarding",https://twitter.com/7tapsHq,,,"B2B,B2C",,3 March 2025
,8seats Group Pty Ltd,"8seats 8seats.com @8seats Get more stuff done with your team. Messaging completely re-imagined. Access any conversation with a simple tap or swipe. No more groups. Collaborate faster: Natural conversations for small & effective teams of up to 20 people. Connect & collaborate faster, powered by our unique dynamic chat system. For bigger groups: Simple group chat for when you need to reach more people. Broadcast to up to 10k members when you need to make announcements to larger groups of people. The end of emails: Get the simplicity & speed of email combined with the power of dynamic chat. Getting stuff done has never been faster or easier. 8seats Group Pty Ltd, Sydney, NSW, Australia","Pre-Launch,Active",https://www.8seats.com,Australia,SaaS,team collaboration,https://x.com/8seats,,,"B2B,B2C",,28 December 2024
,11X LIMITED.,"11x 11x.ai @11x_official Building the home of AI digital workers. Digital workers, Human results. For Sales, RevOps, & Go-to-Market Teams. Alice – AI SDR: Alice transforms your market into your revenue. She engages prospects across channels, driving qualified meetings & building pipeline. Intelligent, enterprise-ready, & seamlessly embedded in your operations—digital workers bring advanced AI technology to your team, scaling effortlessly to drive outcomes & push productivity. San Francisco, CA 94107, USA. United Kingdom, Brickfields Workspace, London, E2 8HD. 11X LIMITED. 2024, 11x acquired Opkit, an AI startup focused on developing healthcare solutions. Opkit co-founders will lead development on Alice 2.0. 11x acquired Opkit to boost its AI voice capabilities.",Active,https://www.11x.ai,"USA,UK",ML,outreach,https://x.com/11x_official,,,"B2B,B2C","2024, 11x acquired Opkit, an AI startup focused on developing healthcare solutions. Opkit co-founders will lead development on Alice 2.0. 11x acquired Opkit to boost its AI voice capabilities.",14 December 2025
